姓名,年龄,部门,薪资,入职日期,绩效评分,是否在职
张三,28,技术部,15000,2021-03-15,85,是
李四,32,销售部,12000,2020-07-20,92,是
王五,25,技术部,18000,2022-01-10,78,是
赵六,35,人事部,10000,2019-11-05,88,是
钱七,29,销售部,13500,2021-09-12,95,是
孙八,27,技术部,16500,2022-06-18,82,是
周九,31,财务部,11000,2020-04-22,90,是
吴十,26,销售部,12800,2023-02-28,87,是
郑十一,33,技术部,19500,2018-08-14,91,是
王十二,24,人事部,9500,2023-07-01,75,是
李十三,30,销售部,14200,2020-12-09,89,是
张十四,29,技术部,17200,2021-05-17,84,是
刘十五,34,财务部,10800,2019-03-25,93,是
陈十六,27,销售部,13100,2022-11-11,86,是
杨十七,28,技术部,18800,2020-09-03,80,是
黄十八,32,人事部,10200,2021-01-19,77,是
林十九,25,销售部,12500,2023-04-08,94,是
何二十,31,技术部,17800,2019-06-30,83,是
